"EstacaoCodigo","Cota observada fora dos limites da curva-chave","Cota observada inferior à medida","Dias com vazão (n)","Erro na geração da vazão","Sobreposição de curvas","Variabilidade média do ramo inferior","Vazões anteriores ao início da curva-chave","Vazões geradas diferentes das disponibilizadas","Vazões posteriores ao final da curva-chave","Vazões sem cota","Vazões sem curva-chave","Falhas entre abril e setembto","Falhas nas cotas observadas","Falhas nas vazões observadas","Média de falhas no mês da Q7 anual","Valores fora do intervalo - área molhada","Valores fora do intervalo - cota medida","Valores fora do intervalo - vazão medida","Avaliação da curva-chave","Avaliação das séries"
"56005000",21.14,3.98,6454,0,0,0.02,0.23,0,0,0.03,0.05,67,0.63,9,0,0,9.68,0,4,4
"56010000",2.56,13.49,9772,0,0,0,0,0.34,0,0.02,0.15,56,0.32,9,31,0,3.45,6.9,5,3
"56012000",11.32,9.38,7854,0,0,0.03,0,0.01,0,0.01,4.14,29,0,7,0,0,0,0,3,3
"56028000",0.06,7.45,29493,0.04,4.82,0.13,0,0.12,0,0.04,0.09,0,0.09,1,0,1.3,3.9,1.3,3,4
"56040000",11.65,0,9406,100,0.01,NA,0,0,0,0.1,4.03,58,0.57,12,12.1,2.5,10,0,1,1
"56050000",0,0,10015,100,0,NA,0.1,0,0,0.01,0.01,67,0.37,6,31,5.41,2.7,0,1,4
"56055000",1.5,6.68,29373,6.65,0.11,0.08,0.01,2.12,0,0.04,1.54,0,0.06,1,0,0,3.49,0.44,4,5
"56065000",2.08,16.51,28338,1.73,2.63,0.19,0.07,0,0,0.03,2.06,0,0.55,1,1,0,2.31,0,4,3
"56075000",0.14,9.78,29373,5.53,4.97,0.04,0,0,0,0.04,0.17,50,0.34,2,0,1.61,3.63,4.44,3,5
"56085000",3.62,3.39,28397,0,2.07,0.07,0,0,0,0.03,3.1,0,0.12,1,7,0.95,2.37,0.47,3,5
"56090000",0.99,9.34,28397,6.34,4.69,0.15,0,0,0,0.04,0.83,100,0.21,1,8,0,1.84,0,4,4
"56105000",34.76,0,3653,90.91,0,NA,0,0,41.42,0,40.93,54,0.52,13,0,0,8.75,0,0,2
"56110000",0,1.83,14457,23.75,0,0.3,0,96.2,0,0.08,0.08,0,0.41,1,0,2.31,3.63,11.22,0,5
"56110005",2.72,5.76,16375,0,5.78,NA,0,0,2.78,0.07,2.67,0,0.09,0,0,3.64,3.64,8.18,4,5
"56130000",27.58,10,4171,15.26,0.07,0.06,0.6,90.39,0.62,0.07,0.07,50,0.56,2,0,0,10,2,0,3
"56145000",0.01,35.58,12998,14.96,0,0.03,0,89.86,0,0.02,0.02,100,0.52,1,0,1.82,49.09,1.82,0,1
"56148000",0.01,0,13696,100,0,NA,0.09,0,0,0.05,0.05,58,1.73,31,21.53,1.59,4.76,0.79,0,3
"56150000",43.71,0,5448,0,0,0,0,94,0,0.02,0.02,50,0.65,6,0,0,0,12.5,0,2
"56152000",42.45,5.23,5448,25.16,0,0.04,0.29,92.93,0,0.04,0.04,57,0.6,7,0,0,13.33,0,0,1
"56155000",37.64,12.54,5448,49.86,0,0,0,45.8,0,0.04,0.04,60,0.83,5,0,0,0,0,0,2
"56158000",50.94,0,2891,100,0,NA,0,0,0,0.07,0.1,56,2.01,9,0,0,9.09,0,0,3
"56160000",41.75,0,2526,100,0,NA,0,0,0,0.04,0.04,0,1.71,0,0,0,11.11,0,0,2
"56170000",13.43,0,5997,100,0,NA,0,0,0,0.05,0.05,67,0.74,3,0,0,33.33,0,0,3
"56182000",0.02,0,9681,100,0,NA,0,0,0,0.01,0.01,0,0.58,1,0,0,0,0,0,3
"56185000",0,0,3350,100,0,NA,0,0,0,0,0,53,4.75,43,31,0,0,9.09,0,3
"56195000",0,0,1734,100,0,NA,0,0,0,0.06,0.06,0,0.12,0,0,12.5,12.5,0,0,2
"56240000",1.85,5.74,32415,73.46,0,0.04,0,0,1.4,0.05,1.89,0,0.12,0,1.67,1.64,4.93,0.33,4,4
"56335000",0.3,0,12844,100,0,NA,0,0,0,0.05,0.05,0,0.24,0,0,1.71,8.57,1.14,0,4
"56335001",1.79,1.21,15949,100,8.02,NA,0,0,0,0.06,1.71,0,0.14,0,0,2.27,8.52,0,4,4
"56336001",0,0,1249,100,0,NA,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0,2
"56337000",1.19,5.02,29493,28.69,3.25,0.17,0.01,0,0,0.04,1.17,33,1,3,21.33,1.76,0.35,0.7,4,4
"56340000",6.06,0,5693,100,0,NA,0,0,0,0.04,0.04,0,0.03,0,0,0,5.33,1.33,0,3
"56385000",7.64,4.89,19539,7.64,0,0.05,0,0,7.78,0.06,7.61,0,0.05,0,4,0.86,2.15,0.43,4,5
